,Age,Embarked,Survived,Pclass,Sex,SibSp,Parch,Fare
604,35.0,Cherbourg,1,1,male,0,0,26.55
605,36.0,Southampton,0,3,male,1,0,15.55
606,30.0,Southampton,0,3,male,0,0,7.8958
607,27.0,Southampton,1,1,male,0,0,30.5
608,22.0,Cherbourg,1,2,female,1,2,41.5792
610,39.0,Southampton,0,3,female,1,5,31.275
611,29.69911764705882,Southampton,0,3,male,0,0,7.05
612,29.69911764705882,Queenstown,1,3,female,1,0,15.5
613,29.69911764705882,Queenstown,0,3,male,0,0,7.75
614,35.0,Southampton,0,3,male,0,0,8.05
615,24.0,Southampton,1,2,female,1,2,65.0
616,34.0,Southampton,0,3,male,1,1,14.4
617,26.0,Southampton,0,3,female,1,0,16.1
618,4.0,Southampton,1,2,female,2,1,39.0
619,26.0,Southampton,0,2,male,0,0,10.5
620,27.0,Cherbourg,0,3,male,1,0,14.4542
621,42.0,Southampton,1,1,male,1,0,52.5542
622,20.0,Cherbourg,1,3,male,1,1,15.7417
623,21.0,Southampton,0,3,male,0,0,7.8542
624,21.0,Southampton,0,3,male,0,0,16.1
625,61.0,Southampton,0,1,male,0,0,32.3208
626,57.0,Queenstown,0,2,male,0,0,12.35
628,26.0,Southampton,0,3,male,0,0,7.8958
629,29.69911764705882,Queenstown,0,3,male,0,0,7.7333
630,80.0,Southampton,1,1,male,0,0,30.0
631,51.0,Southampton,0,3,male,0,0,7.0542
632,32.0,Cherbourg,1,1,male,0,0,30.5
633,29.69911764705882,Southampton,0,1,male,0,0,0.0
634,9.0,Southampton,0,3,female,3,2,27.9
635,28.0,Southampton,1,2,female,0,0,13.0
636,32.0,Southampton,0,3,male,0,0,7.925
637,31.0,Southampton,0,2,male,1,1,26.25
638,41.0,Southampton,0,3,female,0,5,39.6875
639,29.69911764705882,Southampton,0,3,male,1,0,16.1
640,20.0,Southampton,0,3,male,0,0,7.8542
642,2.0,Southampton,0,3,female,3,2,27.9
643,29.69911764705882,Southampton,1,3,male,0,0,56.4958
644,0.75,Cherbourg,1,3,female,2,1,19.2583
646,19.0,Southampton,0,3,male,0,0,7.8958
647,56.0,Cherbourg,1,1,male,0,0,35.5
648,29.69911764705882,Southampton,0,3,male,0,0,7.55
649,23.0,Southampton,1,3,female,0,0,7.55
650,29.69911764705882,Southampton,0,3,male,0,0,7.8958
651,18.0,Southampton,1,2,female,0,1,23.0
652,21.0,Southampton,0,3,male,0,0,8.4333
653,29.69911764705882,Queenstown,1,3,female,0,0,7.8292
654,18.0,Queenstown,0,3,female,0,0,6.75
656,29.69911764705882,Southampton,0,3,male,0,0,7.8958
657,32.0,Queenstown,0,3,female,1,1,15.5
658,23.0,Southampton,0,2,male,0,0,13.0
661,40.0,Cherbourg,0,3,male,0,0,7.225
662,47.0,Southampton,0,1,male,0,0,25.5875
663,36.0,Southampton,0,3,male,0,0,7.4958
664,20.0,Southampton,1,3,male,1,0,7.925
666,25.0,Southampton,0,2,male,0,0,13.0
667,29.69911764705882,Southampton,0,3,male,0,0,7.775
668,43.0,Southampton,0,3,male,0,0,8.05
669,29.69911764705882,Southampton,1,1,female,1,0,52.0
670,40.0,Southampton,1,2,female,1,1,39.0
671,31.0,Southampton,0,1,male,1,0,52.0
672,70.0,Southampton,0,2,male,0,0,10.5
673,31.0,Southampton,1,2,male,0,0,13.0
674,29.69911764705882,Southampton,0,2,male,0,0,0.0
675,18.0,Southampton,0,3,male,0,0,7.775
676,24.5,Southampton,0,3,male,0,0,8.05
677,18.0,Southampton,1,3,female,0,0,9.8417
678,43.0,Southampton,0,3,female,1,6,46.9
680,29.69911764705882,Queenstown,0,3,female,0,0,8.1375
682,20.0,Southampton,0,3,male,0,0,9.225
683,14.0,Southampton,0,3,male,5,2,46.9
684,60.0,Southampton,0,2,male,1,1,39.0
685,25.0,Cherbourg,0,2,male,1,2,41.5792
686,14.0,Southampton,0,3,male,4,1,39.6875
687,19.0,Southampton,0,3,male,0,0,10.1708
688,18.0,Southampton,0,3,male,0,0,7.7958
690,31.0,Southampton,1,1,male,1,0,57.0
691,4.0,Cherbourg,1,3,female,0,1,13.4167
692,29.69911764705882,Southampton,1,3,male,0,0,56.4958
693,25.0,Cherbourg,0,3,male,0,0,7.225
694,60.0,Southampton,0,1,male,0,0,26.55
695,52.0,Southampton,0,2,male,0,0,13.5
696,44.0,Southampton,0,3,male,0,0,8.05
697,29.69911764705882,Queenstown,1,3,female,0,0,7.7333
699,42.0,Southampton,0,3,male,0,0,7.65
701,35.0,Southampton,1,1,male,0,0,26.2875
702,18.0,Cherbourg,0,3,female,0,1,14.4542
703,25.0,Queenstown,0,3,male,0,0,7.7417
704,26.0,Southampton,0,3,male,1,0,7.8542
705,39.0,Southampton,0,2,male,0,0,26.0
706,45.0,Southampton,1,2,female,0,0,13.5
707,42.0,Southampton,1,1,male,0,0,26.2875
709,29.69911764705882,Cherbourg,1,3,male,1,1,15.2458
710,24.0,Cherbourg,1,1,female,0,0,49.5042
711,29.69911764705882,Southampton,0,1,male,0,0,26.55
712,48.0,Southampton,1,1,male,1,0,52.0
713,29.0,Southampton,0,3,male,0,0,9.4833
714,52.0,Southampton,0,2,male,0,0,13.0
715,19.0,Southampton,0,3,male,0,0,7.65
717,27.0,Southampton,1,2,female,0,0,10.5
718,29.69911764705882,Queenstown,0,3,male,0,0,15.5
719,33.0,Southampton,0,3,male,0,0,7.775
720,6.0,Southampton,1,2,female,0,1,33.0
721,17.0,Southampton,0,3,male,1,0,7.0542
722,34.0,Southampton,0,2,male,0,0,13.0
723,50.0,Southampton,0,2,male,0,0,13.0
724,27.0,Southampton,1,1,male,1,0,53.1
725,20.0,Southampton,0,3,male,0,0,8.6625
726,30.0,Southampton,1,2,female,3,0,21.0
727,29.69911764705882,Queenstown,1,3,female,0,0,7.7375
728,25.0,Southampton,0,2,male,1,0,26.0
729,25.0,Southampton,0,3,female,1,0,7.925
731,11.0,Cherbourg,0,3,male,0,0,18.7875
732,29.69911764705882,Southampton,0,2,male,0,0,0.0
733,23.0,Southampton,0,2,male,0,0,13.0
734,23.0,Southampton,0,2,male,0,0,13.0
735,28.5,Southampton,0,3,male,0,0,16.1
736,48.0,Southampton,0,3,female,1,3,34.375
738,29.69911764705882,Southampton,0,3,male,0,0,7.8958
739,29.69911764705882,Southampton,0,3,male,0,0,7.8958
740,29.69911764705882,Southampton,1,1,male,0,0,30.0
743,24.0,Southampton,0,3,male,1,0,16.1
744,31.0,Southampton,1,3,male,0,0,7.925
746,16.0,Southampton,0,3,male,1,1,20.25
747,30.0,Southampton,1,2,female,0,0,13.0
748,19.0,Southampton,0,1,male,1,0,53.1
749,31.0,Queenstown,0,3,male,0,0,7.75
750,4.0,Southampton,1,2,female,1,1,23.0
751,6.0,Southampton,1,3,male,0,1,12.475
752,33.0,Southampton,0,3,male,0,0,9.5
753,23.0,Southampton,0,3,male,0,0,7.8958
754,48.0,Southampton,1,2,female,1,2,65.0
755,0.67,Southampton,1,2,male,1,1,14.5
756,28.0,Southampton,0,3,male,0,0,7.7958
757,18.0,Southampton,0,2,male,0,0,11.5
758,34.0,Southampton,0,3,male,0,0,8.05
760,29.69911764705882,Southampton,0,3,male,0,0,14.5
761,41.0,Southampton,0,3,male,0,0,7.125
762,20.0,Cherbourg,1,3,male,0,0,7.2292
764,16.0,Southampton,0,3,male,0,0,7.775
766,29.69911764705882,Cherbourg,0,1,male,0,0,39.6
767,30.5,Queenstown,0,3,female,0,0,7.75
768,29.69911764705882,Queenstown,0,3,male,1,0,24.15
769,32.0,Southampton,0,3,male,0,0,8.3625
770,24.0,Southampton,0,3,male,0,0,9.5
771,48.0,Southampton,0,3,male,0,0,7.8542
772,57.0,Southampton,0,2,female,0,0,10.5
773,29.69911764705882,Cherbourg,0,3,male,0,0,7.225
774,54.0,Southampton,1,2,female,1,3,23.0
775,18.0,Southampton,0,3,male,0,0,7.75
776,29.69911764705882,Queenstown,0,3,male,0,0,7.75
777,5.0,Southampton,1,3,female,0,0,12.475
778,29.69911764705882,Queenstown,0,3,male,0,0,7.7375
780,13.0,Cherbourg,1,3,female,0,0,7.2292
781,17.0,Southampton,1,1,female,1,0,57.0
782,29.0,Southampton,0,1,male,0,0,30.0
783,29.69911764705882,Southampton,0,3,male,1,2,23.45
784,25.0,Southampton,0,3,male,0,0,7.05
785,25.0,Southampton,0,3,male,0,0,7.25
786,18.0,Southampton,1,3,female,0,0,7.4958
787,8.0,Queenstown,0,3,male,4,1,29.125
788,1.0,Southampton,1,3,male,1,2,20.575
790,29.69911764705882,Queenstown,0,3,male,0,0,7.75
791,16.0,Southampton,0,2,male,0,0,26.0
793,29.69911764705882,Cherbourg,0,1,male,0,0,30.6958
794,25.0,Southampton,0,3,male,0,0,7.8958
795,39.0,Southampton,0,2,male,0,0,13.0
796,49.0,Southampton,1,1,female,0,0,25.9292
797,31.0,Southampton,1,3,female,0,0,8.6833
798,30.0,Cherbourg,0,3,male,0,0,7.2292
799,30.0,Southampton,0,3,female,1,1,24.15
800,34.0,Southampton,0,2,male,0,0,13.0
801,31.0,Southampton,1,2,female,1,1,26.25
803,0.42,Cherbourg,1,3,male,0,1,8.5167
804,27.0,Southampton,1,3,male,0,0,6.975
805,31.0,Southampton,0,3,male,0,0,7.775
806,39.0,Southampton,0,1,male,0,0,0.0
807,18.0,Southampton,0,3,female,0,0,7.775
808,39.0,Southampton,0,2,male,0,0,13.0
809,33.0,Southampton,1,1,female,1,0,53.1
810,26.0,Southampton,0,3,male,0,0,7.8875
811,39.0,Southampton,0,3,male,0,0,24.15
812,35.0,Southampton,0,2,male,0,0,10.5
813,6.0,Southampton,0,3,female,4,2,31.275
814,30.5,Southampton,0,3,male,0,0,8.05
815,29.69911764705882,Southampton,0,1,male,0,0,0.0
816,23.0,Southampton,0,3,female,0,0,7.925
817,31.0,Cherbourg,0,2,male,1,1,37.0042
818,43.0,Southampton,0,3,male,0,0,6.45
819,10.0,Southampton,0,3,male,3,2,27.9
821,27.0,Southampton,1,3,male,0,0,8.6625
822,38.0,Southampton,0,1,male,0,0,0.0
823,27.0,Southampton,1,3,female,0,1,12.475
824,2.0,Southampton,0,3,male,4,1,39.6875
825,29.69911764705882,Queenstown,0,3,male,0,0,6.95
826,29.69911764705882,Southampton,0,3,male,0,0,56.4958
827,1.0,Cherbourg,1,2,male,0,2,37.0042
828,29.69911764705882,Queenstown,1,3,male,0,0,7.75
830,15.0,Cherbourg,1,3,female,1,0,14.4542
831,0.83,Southampton,1,2,male,1,1,18.75
832,29.69911764705882,Cherbourg,0,3,male,0,0,7.2292
833,23.0,Southampton,0,3,male,0,0,7.8542
834,18.0,Southampton,0,3,male,0,0,8.3
836,21.0,Southampton,0,3,male,0,0,8.6625
837,29.69911764705882,Southampton,0,3,male,0,0,8.05
838,32.0,Southampton,1,3,male,0,0,56.4958
839,29.69911764705882,Cherbourg,1,1,male,0,0,29.7
840,20.0,Southampton,0,3,male,0,0,7.925
841,16.0,Southampton,0,2,male,0,0,10.5
842,30.0,Cherbourg,1,1,female,0,0,31.0
843,34.5,Cherbourg,0,3,male,0,0,6.4375
844,17.0,Southampton,0,3,male,0,0,8.6625
845,42.0,Southampton,0,3,male,0,0,7.55
847,35.0,Cherbourg,0,3,male,0,0,7.8958
848,28.0,Southampton,0,2,male,0,1,33.0
850,4.0,Southampton,0,3,male,4,2,31.275
851,74.0,Southampton,0,3,male,0,0,7.775
852,9.0,Cherbourg,0,3,female,1,1,15.2458
853,16.0,Southampton,1,1,female,0,1,39.4
854,44.0,Southampton,0,2,female,1,0,26.0
855,18.0,Southampton,1,3,female,0,1,9.35
857,51.0,Southampton,1,1,male,0,0,26.55
858,24.0,Cherbourg,1,3,female,0,3,19.2583
859,29.69911764705882,Cherbourg,0,3,male,0,0,7.2292
860,41.0,Southampton,0,3,male,2,0,14.1083
861,21.0,Southampton,0,2,male,1,0,11.5
862,48.0,Southampton,1,1,female,0,0,25.9292
864,24.0,Southampton,0,2,male,0,0,13.0
865,42.0,Southampton,1,2,female,0,0,13.0
866,27.0,Cherbourg,1,2,female,1,0,13.8583
867,31.0,Southampton,0,1,male,0,0,50.4958
868,29.69911764705882,Southampton,0,3,male,0,0,9.5
869,4.0,Southampton,1,3,male,1,1,11.1333
870,26.0,Southampton,0,3,male,0,0,7.8958
871,47.0,Southampton,1,1,female,1,1,52.5542
872,33.0,Southampton,0,1,male,0,0,5.0
873,47.0,Southampton,0,3,male,0,0,9.0
874,28.0,Cherbourg,1,2,female,1,0,24.0
875,15.0,Cherbourg,1,3,female,0,0,7.225
876,20.0,Southampton,0,3,male,0,0,9.8458
877,19.0,Southampton,0,3,male,0,0,7.8958
878,29.69911764705882,Southampton,0,3,male,0,0,7.8958
880,25.0,Southampton,1,2,female,0,1,26.0
881,33.0,Southampton,0,3,male,0,0,7.8958
882,22.0,Southampton,0,3,female,0,0,10.5167
883,28.0,Southampton,0,2,male,0,0,10.5
884,25.0,Southampton,0,3,male,0,0,7.05
885,39.0,Queenstown,0,3,female,0,5,29.125
886,27.0,Southampton,0,2,male,0,0,13.0
887,19.0,Southampton,1,1,female,0,0,30.0
888,29.69911764705882,Southampton,0,3,female,1,2,23.45
889,26.0,Cherbourg,1,1,male,0,0,30.0
890,32.0,Queenstown,0,3,male,0,0,7.75
